time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2026-06-17T17:45:42.443	WT901BLE68(F1918F1119D5)	0.448	0.787	-0.411	-3.662	19.531	-3.418	120.01	-25.78	-31.59	null	null	null	null	null	null	null	null	null	null	13115	100
2026-06-17T17:45:42.530	WT901BLE68(F1918F1119D5)	0.463	0.796	-0.380	-5.249	26.855	-5.493	118.21	-26.60	-28.88	null	null	null	null	null	null	null	null	null	null	13115	100
2026-06-17T17:45:42.659	WT901BLE68(F1918F1119D5)	0.470	0.805	-0.353	-5.249	25.452	-6.042	116.39	-27.28	-26.17	null	null	null	null	null	null	null	null	null	null	13115	100
2026-06-17T17:45:42.710	WT901BLE68(F1918F1119D5)	0.477	0.812	-0.322	-4.578	23.682	-5.920	114.49	-27.94	-23.27	null	null	null	null	null	null	null	null	null	null	13115	100
2026-06-17T17:45:42.829	WT901BLE68(F1918F1119D5)	0.485	0.821	-0.294	-3.601	20.508	-5.005	112.46	-28.50	-20.15	null	null	null	null	null	null	null	null	null	null	13115	100
2026-06-17T17:45:42.920	WT901BLE68(F1918F1119D5)	0.489	0.828	-0.270	-3.723	20.325	-5.920	110.65	-28.87	-17.37	null	null	null	null	null	null	null	null	null	null	13115	100
2026-06-17T17:45:43.041	WT901BLE68(F1918F1119D5)	0.491	0.835	-0.241	-3.967	27.771	-6.714	108.77	-29.14	-14.47	null	null	null	null	null	null	null	null	null	null	13115	100
2026-06-17T17:45:43.130	WT901BLE68(F1918F1119D5)	0.492	0.843	-0.214	-3.357	21.973	-6.470	106.97	-29.30	-11.68	null	null	null	null	null	null	null	null	null	null	13115	100
2026-06-17T17:45:43.250	WT901BLE68(F1918F1119D5)	0.493	0.850	-0.188	-3.235	28.992	-6.531	104.99	-29.40	-8.51	null	null	null	null	null	null	null	null	null	null	13115	100
2026-06-17T17:45:43.310	WT901BLE68(F1918F1119D5)	0.489	0.857	-0.163	-3.113	30.579	-7.263	103.19	-29.39	-5.61	null	null	null	null	null	null	null	null	null	null	13115	100
2026-06-17T17:45:43.461	WT901BLE68(F1918F1119D5)	0.483	0.865	-0.131	-2.686	25.330	-7.385	101.27	-29.31	-2.40	null	null	null	null	null	null	null	null	null	null	13115	100
2026-06-17T17:45:43.521	WT901BLE68(F1918F1119D5)	0.479	0.871	-0.107	-2.441	30.884	-7.385	99.47	-29.11	0.64	null	null	null	null	null	null	null	null	null	null	13115	100
